char,total,first,last
a,5984,623,1787
b,900,394,30
c,1256,600,23
d,1672,424,260
e,5824,361,1770
f,439,222,27
g,756,348,42
h,1332,274,191
i,4021,122,354
j,444,401,4
k,622,333,69
l,3595,423,334
m,1356,653,78
n,3876,228,814
o,2195,117,193
p,403,208,19
q,57,22,0
r,3682,429,231
s,1913,516,309
t,2169,357,224
u,800,36,15
v,464,147,18
w,347,195,21
x,69,12,17
y,1302,34,695
z,173,61,15
